               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.018858,           0.0054724,                   0,             0.98713,             0.96296,             0.98702,             0.66731,             0.02359,           0.0070368,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019411,           0.0054089,                   0,             0.99449,             0.96296,             0.98829,             0.66135,            0.024107,           0.0067553,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.01937,           0.0055093,                   0,             0.97353,             0.97531,             0.98633,             0.65836,            0.024007,           0.0069714,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.01862,            0.005526,                   0,             0.98657,             0.95062,             0.98587,             0.66215,            0.023717,           0.0068778,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.019691,           0.0053684,                   0,               0.997,             0.95062,             0.98686,             0.65227,            0.024219,           0.0073021,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,             0.01917,           0.0051307,                   0,              0.9753,             0.97497,             0.98817,             0.65555,            0.023341,           0.0072598,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.019146,           0.0051495,                   0,             0.99761,             0.96296,             0.98994,             0.66608,            0.022896,           0.0070367,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019433,           0.0053964,                   0,             0.99754,             0.97531,              0.9891,             0.66103,            0.023418,           0.0070415,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.018471,           0.0055342,                   0,                   1,             0.95988,              0.9881,             0.68206,            0.023092,           0.0077267,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.017687,           0.0052344,                   0,             0.98756,             0.98012,             0.98951,             0.66549,            0.023457,           0.0072492,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.018639,            0.005252,                   0,             0.98765,             0.98749,             0.98756,             0.65391,            0.023133,           0.0076261,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.01856,           0.0053067,                   0,             0.98679,             0.98765,             0.99013,             0.66437,            0.023018,            0.007468,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.018418,           0.0054568,                   0,             0.97561,             0.98754,             0.99021,             0.66545,            0.022447,           0.0067438,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019386,           0.0055809,                   0,              0.9737,             0.97531,             0.98746,             0.66872,            0.023188,           0.0071045,                   0,            0.004159,            0.004159,            0.004159
                 120,             0.01846,           0.0054839,                   0,             0.98531,             0.97531,             0.98716,              0.6635,            0.024029,           0.0073281,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.018001,           0.0052114,                   0,             0.96201,             0.98765,              0.9822,             0.66633,            0.023522,           0.0071329,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.017594,           0.0051972,                   0,             0.98734,             0.96276,               0.986,              0.6647,             0.02257,           0.0067775,                   0,           0.0040105,           0.0040105,           0.0040105
